Name,BigPic,Gender,Favorite Color,Favorite Flavor,Food Finickiness,Signature Moves,External Texture List,Palette,Breed Face,GUID,Breed Personality,Owner Name,Adoption Date,Generations,Gender,Blood Status,Ancestors,Full Tree,Tree Trimmed,Inbred %,Generations Stored in Tree,Mom,Dad,Profile Comment,Liveliness Center,Liveliness Range,Playfulness Center,Playfulness Range,Independence Center,Independence Range,Confidence Center,Confidence Range,Naughtiness Center,Naughtiness Range,Acrobaticness Center,Acrobaticness Range,Patience Center,Patience Range,Kindness Center,Kindness Range,Nurturing Center,Nurturing Range,Finickiness Center,Finickiness Range,Intelligence Center,Intelligence Range,Messiness Center,Messiness Range,Quirkiness Center,Quirkiness Range,Insanity Center,Insanity Range,Constitution Center,Constitution Range,Metabolism Center,Metabolism Range,Dogginess Center,Dogginess Range,LoveDestiny Center,LoveDestiny Range,Fertility Center,Fertility Range,LoveLoyalty Center,LoveLoyalty Range,Libido Center,Libido Range,OffspringSex Center,OffspringSex Range,Is Neutered?,With Child?,Is Pregnant?
QU23,,Female,red,cheese,No food finickiness,1,(1) \Resource\Catz\ctickblk_med1.bmp,None,Orange Shorthair,3f657fbe-34f4cd47-a854670-5139638b,Orange Shorthair,Becca @ Retro,8/6/2024 8:18:51 am,1,Female,Purebred,0,true,false,0,1,None,None,,50,0,50,0,50,0,50,0,50,0,50,0,50,0,97,29,97,18,2,35,54,18,16,31,0,7,0,25,30,30,43,12,0,34,1,0,100,33,0,38,68,11,50,23,Not spayed/neutered,None,Not pregnant
Ratwell,,Male,green,turkey,No food finickiness,1,(4) \resource\textures\MOTTLED2_IVORY3.bmp | \resource\textures\HAIR11.bmp | \resource\textures\COLORBASE_SEAL1.bmp | \resource\textures\MOTTLED5_BROWNIVORY1.bmp,None,Russian Blue,9c8583d1-2d70be48-9c49cf2-4de8245,Russian Blue,mazzew,11/3/2024 10:30:13 pm,1,Male,Purebred,0,true,false,0,1,None,None,,100,23,100,23,14,20,96,42,15,43,55,10,88,19,88,17,99,23,5,36,68,19,18,24,0,28,0,31,52,26,35,29,0,22,1,0,100,33,0,40,70,5,50,19,Not spayed/neutered,None,Not pregnant
Resolution,,Female,blue,chicken,No food finickiness,1,None,partynight,Russian Blue,c2f63d8b-e57f384b-b64fb6e1-eefaa53d,Russian Blue,ahi tuna,12/30/2024 6:8:47 am,1,Female,Purebred,0,true,false,0,1,None,None,hexed by ahi tuna // sold via petz bazaar //  // rules: // - no editing without permission // - please MPA or (preferably) return to myrtillocactus.geometrizans@gmail.com if no longer wanted // - use tuna's as a prefix if showing :-) //  // enjoy!!!,85,37,98,32,0,23,81,22,22,40,64,25,91,13,0,25,88,41,12,9,30,6,0,39,7,7,0,11,41,37,49,25,0,40,1,0,100,11,0,32,34,18,50,30,Not spayed/neutered,None,Not pregnant
Sangria,,Male,red; blue,fish; milk; catnip,No food finickiness,1,(1) \resource\textures\LWHTabbyTRClassic.bmp,pastel,Orange Shorthair,58a6596c-f98df84d-8de9a6ea-575eebc3,Persian,Testarossa,11/13/2024 7:18:36 pm,678,Male,Mixed Breed,1298,false,true,49.9229583975347,13,Elsa,Domino,,99,24,6,24,14,13,94,21,19,20,86,5,84,39,89,5,89,28,3,15,53,23,5,27,0,42,0,6,35,24,49,35,50,25,1,0,100,4,0,21,31,32,50,36,Not spayed/neutered,None,Not pregnant
Shortcake,,Female,yellow,chicken,No food finickiness,1,(2) \resource\catz\stripe3.bmp | \resource\catz\stripe3.bmp,None,Unknown,59145896-2a269043-9a10abe0-b130da56,Bunny,Amanda @ Cargo,6/22/2025 7:1:45 am,1,Female,Purebred,0,true,false,0,1,None,None,,18,22,12,4,0,24,16,24,18,6,0,31,86,38,91,17,96,28,14,35,40,26,14,30,0,42,0,40,53,34,53,28,0,10,1,0,100,23,0,31,43,13,50,26,Spayed/Neutered,None,Not pregnant
Sindhri,,Female,yellow,milk; soft,No food finickiness,1,None,sundown,Chinchilla Persian,033f516-9272341-97b4bb87-5bbc053,Chinchilla Persian,mazzew,9/2/2024 4:4:48 am,1,Female,Purebred,0,true,false,0,1,None,None,,66,27,84,27,9,27,84,41,11,37,48,26,39,23,32,18,91,34,1,24,69,26,0,36,64,19,97,10,36,21,47,35,0,30,1,0,100,19,0,26,60,23,50,38,Not spayed/neutered,None,Not pregnant
Skye,,Male,yellow,beef; plastic; rubber; bone; wood; plants,No food finickiness,1,None,None,Bulldog,50c69-3f3d3c4f-babd81dc-db765722,Pig,milktea,5/18/2024 5:40:32 pm,1,Male,Purebred,0,true,false,0,1,None,None,,2,19,41,23,31,35,52,33,44,38,0,6,28,17,83,29,92,46,0,28,84,37,14,12,0,24,0,39,15,48,20,29,100,8,1,0,100,38,0,32,58,9,50,41,Spayed/Neutered,None,Not pregnant
Slurpy Shirley,,Female,green,milk; catnip,No food finickiness,1,(6) \resource\catz\watermelon\smallseeds.bmp | \resource\catz\watermelon\skin.bmp | \resource\catz\watermelon\lightskin.bmp | \resource\catz\watermelon\redflesh.bmp | \resource\catz\watermelon\pinkflesh.bmp | \resource\catz\watermelon\innerskin.bmp,None,Orange Shorthair,bd69e22-b17534d-bdf129be-8ee55381,Orange Shorthair,silverfish,6/23/2025 12:45:50 am,1,Female,Purebred,0,true,false,0,1,None,None,"Typical community rules apply: do not copy, redistribute etc. // Do not edit the pet (this includes no palette swapping)  or copy code.  // Any external textures usually go in resource\catz. // Feel free to change the texture paths to organize the textures however you want! // Feel free to gender swap, neuter, and/or rename. // Do NOT MPA or delete.  // Return to me if no longer wanted. // More info and contact details can be found at Swallowtail: // https://silverfish-swallowtail.weebly.com/ // ",88,39,81,38,14,36,0,23,17,24,10,46,84,12,80,35,95,9,10,21,54,7,7,7,0,17,0,16,11,33,92,28,0,21,1,0,100,46,0,47,60,10,50,16,Not spayed/neutered,None,Not pregnant
Snazzy Snout,,Male,clear,turkey; catnip,No food finickiness,1,None,zsky,Unknown,8d5ed17-a62a834e-ad6dc4e7-83f534f4,Persian,mazzew,11/3/2024 2:40:52 am,1,Male,Purebred,0,true,false,0,1,None,None,,19,31,100,15,2,33,66,15,17,23,46,7,5,36,98,7,95,21,0,36,36,3,12,19,100,33,0,37,38,16,100,13,98,35,1,0,100,13,0,26,45,30,50,38,Not spayed/neutered,None,Not pregnant
Snowfluff,,Male,green,cheese,No food finickiness,1,(3) \resource\catz\mythicsnowp.bmp | \resource\catz\mythicsnow2p.bmp | \resource\catz\mythicsnow3p.bmp,None,Persian,4c1ecd5-7bc83942-b6ecbab2-5ecf1b81,Tabby,Elizabeth,4/12/2024 10:53:44 pm,1,Male,Purebred,0,true,false,0,1,None,None,,82,41,100,9,4,16,83,42,79,39,22,25,86,14,99,19,96,21,6,19,59,42,20,20,0,8,0,30,36,16,100,30,100,11,1,0,100,22,0,30,60,41,50,12,Not spayed/neutered,None,Not pregnant
Sockies,,Female,blue,fish,No food finickiness,1,None,None,Persian,4d72c72f-f06df34f-ac39f3b1-12f7cb3,Orange Shorthair,Emmer,3/28/2024 9:59:19 pm,1,Female,Purebred,0,true,false,0,1,None,None,,50,0,50,0,50,0,50,0,50,0,50,0,50,0,83,42,87,25,12,11,56,27,3,25,0,25,0,16,36,24,34,39,0,14,1,0,100,8,0,46,33,24,50,24,Not spayed/neutered,None,Not pregnant
Sorrel,,Male,blue,fish; milk; catnip,No food finickiness,19,(13) \resource\catz\LWHWGrizzle35-25B.bmp | \resource\catz\LWHGrizzleRex35HV.bmp | \resource\catz\transparentfloral\autumnleaf1_small.bmp | \resource\catz\transparentfloral\autumnleaf2_small.bmp | \resource\catz\transparentfloral\autumnleaf3_small.bmp | \resource\catz\transparentfloral\blossombranch_small.bmp | \resource\catz\transparentfloral\pinecone_small.bmp | \resource\catz\transparentfloral\clumpofleaves1_small.bmp | \resource\catz\transparentfloral\clumpofleaves2_small.bmp | \resource\catz\transparentfloral\branchwithleaves1_small.bmp | \resource\catz\transparentfloral\branchwithleaves2_small.bmp | \resource\catz\transparentfloral\twig1_small.bmp | \resource\catz\transparentfloral\twig2_small.bmp,warmer,Orange Shorthair,b018379-dfd93a4d-866a2dbc-2bb63d,Orange Shorthair,silverfish,4/24/2025 2:48:33 pm,1,Male,Purebred,0,true,false,0,1,None,None,"Typical community rules apply: do not copy, redistribute etc. // Do not edit the pet (this includes no palette swapping)  or copy code.  // Any external textures usually go in resource\catz. // Feel free to change the texture paths to organize the textures however you want! // Feel free to gender swap, neuter, and/or rename. // Do NOT MPA or delete.  // Return to me if no longer wanted. // More info and contact details can be found at Swallowtail: // https://silverfish-swallowtail.weebly.com/ // ",89,19,81,37,16,13,3,19,9,23,5,28,86,12,82,31,96,31,20,38,53,24,18,16,0,30,0,28,10,29,85,2,0,4,1,0,100,9,0,4,64,31,50,23,Not spayed/neutered,None,Not pregnant
Sprite,,Female,red,cheese,No food finickiness,1,(1) \resource\dogz\greypurpz.bmp,cirpyr,Great Dane,278ea93e-7438344d-b8ab6646-9f47d780,Great Dane,Angora,12/28/2024 12:43:27 am,1,Female,Purebred,0,true,false,0,1,None,None,,50,0,50,0,50,0,50,0,50,0,50,0,50,0,86,2,87,28,0,43,35,13,14,35,0,24,0,21,45,18,70,15,100,15,1,0,100,22,0,18,64,9,50,29,Not spayed/neutered,None,Not pregnant
Sprout,,Female,blue,milk,Only likes 1 flavor,1,None,None,Siamese,b1ff89c1-3cc1574f-b48311e0-5c54427f,Siamese,twincy,11/13/2024 12:36:45 pm,1,Female,Purebred,0,true,false,0,1,None,None,,2,34,10,21,94,23,94,15,21,30,87,28,12,8,1,37,20,20,86,32,94,6,13,25,0,8,0,22,60,46,89,19,0,36,1,0,100,34,0,30,49,39,50,30,Not spayed/neutered,None,Not pregnant
Spur,,Male,red,beef,No food finickiness,1,None,None,Dalmatian,436a6b12-acb98246-bbfb69eb-13e92b4c,Dalmatian,Angora,5/3/2026 10:29:12 pm,1,Male,Purebred,0,true,false,0,1,None,None,,98,33,91,33,4,17,40,7,39,28,89,46,55,45,100,13,96,47,0,25,7,9,1,25,0,24,0,22,7,16,13,15,100,27,1,0,100,22,0,12,40,12,50,9,Not spayed/neutered,None,Not pregnant
Sterling,,Female,red,beef,No food finickiness,1,(2) \resource\catz\mottled2_brown1.bmp | \resource\catz\C_IVORY_3.bmp,notcat,Russian Blue,47dc9e14-65d08240-9eee5797-f73cf310,Russian Blue,Angora,8/10/2025 1:42:3 pm,1,Female,Purebred,0,true,false,0,1,None,None,,50,0,50,0,50,0,50,0,50,0,50,0,50,0,97,33,96,16,11,13,50,44,4,18,4,29,0,21,40,47,62,20,0,8,1,0,100,26,0,19,46,40,50,23,Not spayed/neutered,None,Not pregnant
Stormmane,,Female,yellow,chicken,No food finickiness,1,None,None,B+W Shorthair,7e3cdf42-6bd83b42-a7544896-74e88a6e,B+W Shorthair,Mako,12/5/2025 1:14:8 pm,1,Female,Purebred,0,true,false,0,1,None,None,Adopted from the Petz Life Advent Calender 2025! //  // Rules: //  // 1. Keep Mako's in the prefix if you show. //  // 2. Feel free to MPA or delete. Please do not resell. //  // 3. Renaming/gender changing/minor brexing/trimming is fine. //  // 4. Please do not modify hexes without reaching out to me unless explicitly stated.,50,0,50,0,50,0,50,0,50,0,50,0,50,0,85,31,89,30,2,12,62,16,0,38,0,15,0,20,63,38,65,17,0,30,1,0,100,40,0,6,54,30,50,30,Not spayed/neutered,None,Not pregnant
Sunny,,Male,green,milk; catnip; cheese,No food finickiness,1,(1) \resource\catz\sunshie.bmp,wildsummer,Orange Shorthair,a7752e2b-272bc446-bb9cdaf-9f2123fa,Orange Shorthair,Lilibet,7/6/2025 10:8:36 pm,1,Male,Purebred,0,true,false,0,1,None,None,"bred by lilibet, ow-free.",98,27,82,16,10,19,11,16,4,28,15,34,90,36,83,23,83,18,12,28,43,40,19,24,0,20,0,25,17,6,90,7,0,30,1,0,100,27,0,17,49,28,50,24,Not spayed/neutered,None,Not pregnant
Tangyuan,,Male,yellow,fish; catnip,No food finickiness,1,None,babyfurb,Persian,5570b45e-ccf8e046-81e9a86-ebed4c72,Persian,Angora,5/31/2025 2:15:29 pm,1,Male,Purebred,0,true,false,0,1,None,None,,93,19,37,11,89,34,69,43,42,28,67,33,36,26,44,33,13,23,6,27,48,35,2,17,42,17,65,25,69,28,68,24,90,9,1,0,100,18,0,21,64,13,50,11,Not spayed/neutered,None,Not pregnant
The giving tree,,Male,green,milk,No food finickiness,1,None,None,Maine Coon,c95f2f9e-5f867748-ba5fdbc4-1eeed68c,Maine Coon,Shortbread @ Canis Major,5/31/2024 1:55:58 am,1,Male,Purebred,0,true,false,0,1,None,None,"HAPPY SUMMERFEST! Have a summer coon! //  // -Keep Shortbread/CanisMjr/CMjr in the prefix. // -Keep Shortbread@CanisMajor as the owner name. // -If you no longer want the pet, try to return to me or MPA- please don�t delete or sell! // -Name changing, tree trimming, gender swapping, headshot changes and playdates are ok! Rerouting textures in their LNZ files is also fine. // -Don�t otherwise edit the pet without asking! //  // Contact me via ask or discord (@casperlotl) if you have any questions! I�m in Petzcord and Petz Life! // ",92,29,11,39,9,34,88,13,4,20,92,36,95,21,90,17,87,9,5,44,100,9,8,36,0,12,0,20,100,39,93,22,92,10,1,0,100,38,0,28,35,36,50,27,Not spayed/neutered,None,Not pregnant
Thingamajig,,Female,blue,chicken; milk; catnip,No food finickiness,1,(4) \resource\catz\silverfish_tealandgoldlgt.bmp | \resource\catz\silverfish_nbpattern3.bmp | \resource\catz\silverfish_nbpattern3.bmp | \resource\catz\silverfish_blue.bmp,None,Orange Shorthair,45aecbc5-5c55f4d-99da8e66-a67ee271,Orange Shorthair,silverfish,11/27/2025 3:44:26 am,1,Female,Purebred,0,true,false,0,1,None,None,"Typical community rules apply: do not copy, redistribute etc. // Do not edit the pet (this includes no palette swapping)  or copy code.  // Any external textures usually go in resource\catz. // Feel free to change the texture paths to organize the textures however you want! // Feel free to gender swap, neuter, and/or rename. // Do NOT MPA or delete.  // Return to me if no longer wanted. // More info and contact details can be found at Swallowtail: // https://silverfish-swallowtail.weebly.com/ // ",87,11,86,48,8,30,19,6,7,26,2,24,82,35,88,24,90,32,10,15,58,33,19,11,1,35,0,18,0,38,93,40,0,23,1,0,100,31,0,4,37,13,50,17,Not spayed/neutered,None,Not pregnant
Tofurkey,,Female,green,fish; milk; catnip,No food finickiness,4,(1) \art\textures\CATZCORNER.bmp,None,Orange Shorthair,495e714d-514b8e4f-b7adc8f-722142e8,Orange Shorthair,Lilibet,11/17/2024 4:38:34 pm,1,Female,Purebred,0,true,false,0,1,None,None,,93,20,92,28,0,12,4,22,6,20,13,12,84,18,86,23,88,20,18,30,44,17,3,27,0,39,0,30,7,16,96,34,0,36,1,0,100,5,0,34,64,22,50,27,Not spayed/neutered,None,Not pregnant
totprism,,Male,red,catnip; cheese,Only likes 1 flavor,1,None,flame,Orange Shorthair,36299973-5855c46-828541e4-50952364,Persian,Lilibet,10/25/2024 5:8:4 pm,1,Male,Purebred,0,true,false,0,1,None,None,,10,23,90,36,17,37,40,10,30,30,12,32,4,16,92,4,85,1,7,35,47,43,19,31,16,25,0,26,37,35,9,36,0,31,1,0,100,19,0,17,31,27,50,5,Not spayed/neutered,None,Not pregnant
Twilight,,Male,red,beef,No food finickiness,1,None,ohshift,Dalmatian,71455365-56df546-a8e786bf-a6e5974f,Dalmatian,Mako,11/25/2024 12:18:36 am,1,Male,Purebred,0,true,false,0,1,None,None,Happy Holiday 2024 from Mako! //  // Rules: // 1. Keep Mako's in the prefix if you show. // 2. Please do not resell. MPA/Delete is okay.,95,16,93,21,0,7,34,15,52,37,85,26,36,24,89,16,95,11,0,26,12,12,5,22,0,22,0,31,15,3,2,18,100,28,1,0,100,18,0,28,42,20,50,13,Not spayed/neutered,None,Not pregnant
Twinklepawz,,Female,blue,fish,No food finickiness,1,None,None,Calico,9a1f81a3-67a89542-9ddea488-c41b602e,Calico,Mazzew@Mazzew,11/10/2023 8:30:48 pm,1,Female,Purebred,0,true,false,0,1,None,None,,86,35,99,2,3,10,85,31,14,25,95,19,81,4,83,27,95,27,19,15,50,29,10,16,0,11,0,31,59,45,56,21,100,35,1,0,100,20,0,7,36,30,50,18,Not spayed/neutered,None,Not pregnant
Watermelon,,Male,blue,fish,No food finickiness,1,None,sundown,Russian Blue,5bcc53b-c67ce46-a468bb24-902cfbd2,Egyptian Mau,milktea,9/25/2024 12:38:53 am,1,Male,Purebred,0,true,false,0,1,None,None,,81,20,82,13,10,39,86,32,40,25,100,27,84,14,85,31,100,36,17,22,99,35,4,18,0,43,0,11,42,27,32,27,0,27,1,0,100,20,0,24,66,31,50,19,Not spayed/neutered,None,Not pregnant
Zesty Zing,,Male,red,beef,No food finickiness,1,None,cheesy,Chihuahua,732140ab-a3b55b4e-806b987b-365631f2,Labrador,SWKManda,12/8/2024 4:37:46 am,1,Male,Purebred,0,true,false,0,1,None,None,,93,17,85,23,7,24,81,26,9,23,92,25,88,24,83,25,89,36,0,13,100,12,7,25,0,28,0,24,56,31,40,41,100,21,1,0,100,35,0,22,39,33,50,35,Not spayed/neutered,None,Not pregnant
